
Gurobi 9.0.3 (mac64) logging started Fri Oct 30 18:33:53 2020

Gurobi Optimizer version 9.0.3 build v9.0.3rc0 (mac64)
Optimize a model with 121833 rows, 91061 columns and 422924 nonzeros
Model fingerprint: 0x93264b55
Coefficient statistics:
  Matrix range     [1e+00, 6e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+00]
Presolve removed 46 rows and 1 columns
Presolve time: 1.00s
Presolved: 121787 rows, 91060 columns, 422069 nonzeros

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   1.815000e+03   0.000000e+00      1s
    4460    4.5728617e+01   2.130608e+04   0.000000e+00      5s
    8942    4.5728660e+01   9.752235e+04   0.000000e+00     10s
   10697    4.5728662e+01   3.929516e+04   0.000000e+00     15s
   12932    4.5728708e+01   5.351256e+04   0.000000e+00     20s
   14427    4.5728713e+01   3.217487e+04   0.000000e+00     25s
   15717    4.5728715e+01   8.497551e+04   0.000000e+00     30s
   16767    4.5728720e+01   1.341286e+04   0.000000e+00     36s
   18192    4.5728725e+01   7.015361e+02   0.000000e+00     41s
   18682    4.5728734e+01   1.765669e+04   0.000000e+00     47s
   19017    4.5728746e+01   1.627594e+04   0.000000e+00     53s
   19402    4.5728748e+01   2.947894e+04   0.000000e+00     56s
   19987    4.5728748e+01   3.764334e+03   0.000000e+00     60s
   20617    4.5728749e+01   1.187248e+04   0.000000e+00     66s
   22010    4.5728765e+01   3.787831e+04   0.000000e+00     71s
   23895    4.5728793e+01   9.593264e+03   0.000000e+00     75s
   25200    4.5728830e+01   1.917355e+04   0.000000e+00     81s
   26170    4.5728855e+01   4.139217e+04   0.000000e+00     85s
   27590    4.5728876e+01   1.951796e+04   0.000000e+00     90s
   28706    4.5728908e+01   2.051386e+04   0.000000e+00     95s
   29616    4.5728940e+01   6.653728e+03   0.000000e+00    100s
   30756    4.5728961e+01   7.933036e+03   0.000000e+00    105s
   31816    4.5728993e+01   1.053775e+04   0.000000e+00    110s
   32726    4.5729020e+01   1.453138e+04   0.000000e+00    116s
   33416    4.5729039e+01   9.821838e+03   0.000000e+00    121s
   34656    4.5729064e+01   2.832242e+04   0.000000e+00    125s
   36136    4.5729082e+01   2.522305e+03   0.000000e+00    130s
   37946    4.5729120e+01   3.579055e+03   0.000000e+00    135s
   39736    4.5729143e+01   3.799127e+03   0.000000e+00    140s
   42021    4.5729147e+01   1.326970e+04   0.000000e+00    145s
   44331    4.5729171e+01   3.490393e+04   0.000000e+00    150s
   46891    4.5729194e+01   5.728864e+03   0.000000e+00    155s
   48561    4.5729221e+01   4.937608e+03   0.000000e+00    160s
   50621    4.5729248e+01   2.070328e+03   0.000000e+00    165s
   52161    4.5729271e+01   2.195285e+02   0.000000e+00    170s
   53911    4.5729282e+01   2.038344e+01   0.000000e+00    175s
   53948    4.5728109e+01   0.000000e+00   0.000000e+00    176s

Solved in 53948 iterations and 175.87 seconds
Optimal objective  4.572810923e+01
